[2026-05-13T02:58:28.149Z] GET http://localhost:5173/src/views/Dashboard/index.vue → 200 (42ms, 53034B)
[2026-05-13T02:58:28.192Z] GET http://localhost:5173/src/components/screen/ScreenHeader.vue → 200 (3ms, 12633B)
[2026-05-13T02:58:28.192Z] GET http://localhost:5173/src/components/common/FilterBar.vue → 200 (3ms, 17097B)
[2026-05-13T02:58:28.192Z] GET http://localhost:5173/src/components/screen/GlowPanel.vue → 200 (3ms, 7575B)
[2026-05-13T02:58:28.192Z] GET http://localhost:5173/src/components/screen/KpiCard.vue → 200 (3ms, 7850B)
[2026-05-13T02:58:28.192Z] GET http://localhost:5173/src/components/charts/StructureBar.vue → 200 (4ms, 7823B)
[2026-05-13T02:58:28.193Z] GET http://localhost:5173/src/components/charts/TrendLine.vue → 200 (3ms, 9170B)
[2026-05-13T02:58:28.193Z] GET http://localhost:5173/src/components/charts/RegionRank.vue → 200 (3ms, 6736B)
[2026-05-13T02:58:28.193Z] GET http://localhost:5173/src/components/charts/IndustryBubble.vue → 200 (3ms, 7746B)
[2026-05-13T02:58:28.193Z] GET http://localhost:5173/src/components/charts/HubeiMap.vue → 200 (3ms, 12246B)
[2026-05-13T02:58:28.193Z] GET http://localhost:5173/src/views/Dashboard/index.vue?vue&type=style&index=0&scoped=585062f7&lang.scss → 200 (2ms, 6785B)
[2026-05-13T02:58:28.195Z] GET http://localhost:5173/src/components/screen/ScreenHeader.vue?vue&type=style&index=0&scoped=bfd17d0a&lang.scss → 200 (1ms, 3553B)
[2026-05-13T02:58:28.195Z] GET http://localhost:5173/src/components/common/FilterBar.vue?vue&type=style&index=0&scoped=293392e6&lang.scss → 200 (1ms, 3278B)
[2026-05-13T02:58:28.195Z] GET http://localhost:5173/src/components/screen/GlowPanel.vue?vue&type=style&index=0&scoped=845bdd5b&lang.scss → 200 (1ms, 2521B)
[2026-05-13T02:58:28.195Z] GET http://localhost:5173/src/components/screen/KpiCard.vue?vue&type=style&index=0&scoped=6add42c2&lang.scss → 200 (2ms, 2288B)
[2026-05-13T02:58:28.196Z] GET http://localhost:5173/src/components/charts/BaseChart.vue → 200 (1ms, 5611B)
[2026-05-13T02:58:28.196Z] GET http://localhost:5173/src/components/charts/HubeiMap.vue?vue&type=style&index=0&scoped=271f450e&lang.css → 200 (1ms, 707B)
[2026-05-13T02:58:28.197Z] GET http://localhost:5173/src/components/charts/BaseChart.vue?vue&type=style&index=0&scoped=30b465e1&lang.css → 200 (?ms, 710B)
[2026-05-13T02:58:28.207Z] GET http://localhost:5173/hubei-geo.json → 200 (3ms, 155792B)
[2026-05-13T02:58:28.207Z] GET http://localhost:5173/api/meta/dimensions → 200 (39ms, 2549B)
[2026-05-13T02:58:28.246Z] GET http://localhost:5173/api/overview → 200 (165ms, 1201B)
[2026-05-13T02:58:28.246Z] GET http://localhost:5173/api/structure → 200 (255ms, 3617B)
[2026-05-13T02:58:28.246Z] GET http://localhost:5173/api/trend → 200 (183ms, 712B)
[2026-05-13T02:58:28.246Z] GET http://localhost:5173/api/region → 200 (216ms, 2613B)
